Pais,Growth Manager,Marca,Sucursal,App,Mes,Visitas,Conversión,Ordenes,Ventas,Recompra,NPS,Disponibilidad,Órdenes con Demora (%),Órdenes Canceladas (%),Tiempo de Preparación
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 dic 2024,8900,0.12,1068,30447610,0.7172,4.85,0.9981,,0.0019,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 abr 2025,5508,0.191,1052,31385173,0.8061,4.4,0.9993,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 oct 2024,8382,0.123,1031,23807530,0.7798,4.9,0.9998,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 dic 2024,7792,0.13,1013,22985250,0.5499,4.8,0.947,,0.001,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 mar 2025,9009,0.112,1009,20785610,0.6373,4.45,0.9894,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 feb 2025,8354,0.1203,1005,24784439,,4.7,0.9784,0.1203,0.0029,12
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 ene 2025,7243,0.136,985,27566705,0.7574,4.5,0.9991,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 feb 2025,6127,0.157,962,27993300,0.7308,4,0.9923,,0.001,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 mar 2025,5588,0.17,950,29692140,0.7789,4.4,0.9915,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 ene 2025,1011,0.9192,929,24085553.5,,4.6,0.9627,0.9192,0.0021,13
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 nov 2024,8505,0.109,927,25457710,0.7551,4.35,0.9906,,0.0011,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 abr 2025,7230,0.126,911,19506246,0.6125,3.65,0.983,,0.0022,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 ene 2025,9585,0.094,901,18541960,0.5383,4.25,0.9864,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 ene 2025,6099,0.142,866,26041925,0.6859,4.8,0.9984,,0.0012,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 dic 2024,6174,0.138,852,18012380,0.4965,4.35,0.9535,,0.0023,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 feb 2025,4457,0.173,771,21983430,0.8042,4.65,1,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 ene 2025,8269,0.093,769,16530955,0.5553,4.3,0.9767,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 feb 2025,9171,0.082,752,14587015,0.621,4.15,0.9807,,0.0027,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 nov 2024,6769,0.108,731,15861075,0.5841,4.85,0.9532,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 mar 2025,7886,0.079,623,13595520,0.5891,4.4,0.974,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 may 2025,7684,0.076,584,10974233,0.4486,3.7,0.9965,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 may 2025,5677,0.099,562,11405690.5,0.5801,4.55,0.9984,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 abr 2025,5103,0.107,546,11224217,0.6465,4.5,0.9945,,0.0018,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 jun 2025,10404,0.052,541,11893742,0.5601,4.55,0.9981,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 mar 2025,5455,0.099,540,11002085,0.6389,4.95,0.9914,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 abr 2025,4455,0.121,539,12259179,0.5955,4.5,0.9764,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 oct 2024,4157,0.127,528,10243365,0.6193,4.09,0.9847,,0.0019,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 feb 2025,10540,0.05,527,11434300,0.5294,4.06,0.9943,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 nov 2024,5780,0.091,526,11584315,0.4487,4.55,0.9659,,0.0019,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 jun 2025,5940,0.083,493,12585470,0.6369,4.3,0.9964,,0.002,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 dic 2024,4367,0.109,476,9954650,0.6092,4.24,0.9855,,0.0105,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 dic 2024,7900,0.06,474,9862445,0.4916,4.55,0.9684,,0.0042,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 nov 2024,3896,0.115,448,8903700,0.4442,4.67,0.9503,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 feb 2025,5106,0.085,434,8349775,0.6382,4.68,0.9974,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 ago 2024,4265,0.098,418,7136655,0.6364,4.85,0.9843,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 jul 2024,2324,0.176,409,6504700,0.6137,4.06,0.9838,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 ene 2025,4916,0.083,408,8466535,0.6201,4.3,0.9958,,0.0025,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 mar 2025,9302,0.043,400,7849545,0.5325,4.2,0.997,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 oct 2024,2432,0.146,355,6515270,0.4451,4.7,0.975,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 nov 2024,6451,0.051,329,6673700,0.4012,3.76,0.9702,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 ene 2025,6750,0.044,297,6449845,0.4781,4.53,0.9959,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 abr 2025,3313,0.08,265,5484108,0.5774,4.43,1,,0,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 sept 2024,1880,0.133,250,4510995,0.664,4.38,0.9687,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 oct 2024,2067,0.12,248,4523780,0.4758,4.43,0.9869,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 oct 2024,3000,0.079,237,4522875,0.4557,4.1,0.9838,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 feb 2025,4681,0.047,220,4635735,0.6,5,0.9915,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 jul 2024,2126,0.095,202,3128700,0.505,3.14,0.9746,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 ago 2024,4196,0.046,193,2959505,0.5596,4,0.9518,,0.0052,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 ago 2024,4047,0.043,174,2788595,0.4253,4.6,0.9849,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 sept 2024,1663,0.089,148,2818535,0.6216,4.7,0.9804,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 ago 2024,1808,0.073,132,2327760,0.4848,4.4,0.9792,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 sept 2024,1955,0.067,131,2061940,0.5802,4.33,0.9885,,0.0076,
Argentina,Juanchi,MARCA A ,Devoto,Rappi Turbo,1 jul 2024,796,0.137,109,1845400,0.5138,4.63,0.9918,,0.0092,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 sept 2024,956,0.09,86,1829000,0.5465,5,0.988,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi Turbo,1 jul 2024,1207,0.058,70,996900,0.4571,4.5,0.9021,,0,
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 jul 2024,7132,0.189,1348,24615344.5,,4.7,0.9914,0.189,0.0007,27
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 sept 2024,7522,0.1558,1172,24751759.6,,4.7,0.9962,0.1558,0.0017,24
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 ago 2024,6397.268071,0.1757,1124,22537072.2,,4.7,0.9865,0.189,0.0018,26
